season,county,A,B,U,ttl,pop
2019-20,Lancaster,1169,1071,1,2241,526194.0
2019-20,Lawrence,1271,1519,.,2790,86145.0
2019-20,Lebanon,268,203,.,471,126069.0
2019-20,Lehigh,587,660,.,1247,361437.0
2019-20,Luzerne,2397,2291,195,4883,296621.0
2019-20,Lycoming,1938,1825,5,3768,113105.0
2019-20,Mckean,793,521,.,1314,
2019-20,Mercer,327,233,.,560,121376.0
2019-20,Mifflin,400,425,.,825,46421.0
2019-20,Monroe,255,179,11,445,208142.0
2019-20,Montgomery,1022,1160,.,2182,854994.0
2019-20,Montour,5197,4266,252,9715,16977.0
2019-20,Northampton,80,61,.,141,316862.0
2019-20,Northumberland,2800,2648,.,5448,92861.0
2019-20,Perry,385,480,.,865,45111.0
2019-20,Philadelphia,207,266,.,473,1421328.0
2019-20,Pike,4334,3328,8,7670,80765.0
2019-20,Potter,198,190,.,388,17641.0
2019-20,Schuylkill,212,325,.,537,146457.0
2019-20,Snyder,856,1355,.,2211,39025.0
2019-20,Somerset,224,282,9,515,77149.0
2019-20,Sullivan,231,252,2,485,6313.0
2019-20,Susquehanna,21,18,.,39,61630.0
2019-20,Tioga,185,142,.,327,39772.0
2019-20,Union,138,180,.,318,50018.0
2019-20,Venango,281,215,.,496,52844.0
2019-20,Warren,100,87,.,187,35723.0
2019-20,Washington,389,234,.,623,211288.0
2019-20,Wayne,1167,1216,2,2385,60607.0
2019-20,Westmoreland,670,713,.,1383,380748.0
2019-20,Wyoming,1608,2060,2,3670,24010.0
2019-20,York,91,59,.,150,450887.0
2019-20,All,1915,2927,31,4873,
2019-20,Total,63033,66157,2092,131282,
2016-17,Adams,390,60,.,450,109237.0
2016-17,Allegheny,997,701,.,1698,1169207.0
2016-17,Armstrong,3254,1763,9,5026,66054.0
2016-17,Beaver,226,86,.,312,158212.0
2016-17,Bedford,766,468,4,1238,51751.0
2016-17,Berks,118,114,2,234,450718.0
2016-17,Blair,2363,676,.,3039,114559.0
2016-17,Bradford,624,386,29,1039,59359.0
2016-17,Bucks,535,281,.,816,673124.0
2016-17,Butler,1790,452,2,2244,206380.0
2016-17,Cambria,520,380,20,920,132810.0
2016-17,Cameron,583,346,3,932,5569.0
2016-17,Carbon,23,8,.,31,66843.0
2016-17,Centre,318,101,.,419,156620.0
2016-17,Chester,768,220,.,988,604385.0
2016-17,Clarion,1680,543,7,2230,38726.0
2016-17,Clearfield,220,118,.,338,81487.0
2016-17,Clinton,357,280,13,650,33669.0
2016-17,Columbia,147,55,.,202,67053.0
2016-17,Crawford,44,50,.,94,89515.0
2016-17,Cumberland,623,267,.,890,258880.0
2016-17,Dauphin,1704,666,51,2421,262550.0
2016-17,Delaware,1707,392,.,2099,566788.0
2016-17,Elk,2817,831,1,3649,28909.0
2016-17,Erie,141,72,.,213,275355.0
2016-17,Fayette,1721,377,1,2099,139362.0
2016-17,Forest,655,444,1,1100,7579.0
2016-17,Franklin,11,10,.,21,141656.0
2016-17,Fulton,709,285,.,994,16603.0
2016-17,Greene,227,190,.,417,40018.0
2016-17,Huntingdon,144,59,.,203,47974.0
2016-17,Indiana,675,198,2,875,72876.0
2016-17,Jefferson,700,307,.,1007,43775.0
2016-17,Juniata,384,167,.,551,24798.0
2016-17,Lackawanna,40,5,.,45,199310.0
2016-17,Lancaster,373,235,1,609,526194.0
2016-17,Lawrence,1264,416,.,1680,86145.0
2016-17,Lebanon,75,43,.,118,126069.0
2016-17,Lehigh,463,173,.,636,361437.0
2016-17,Luzerne,2371,517,1,2889,296621.0
2016-17,Lycoming,805,508,2,1315,113105.0
2016-17,Mckean,661,238,.,899,
2016-17,Mercer,137,82,.,219,121376.0
2016-17,Mifflin,213,84,1,298,46421.0
2016-17,Monroe,97,18,16,131,208142.0
2016-17,Montgomery,654,168,.,822,854994.0
2016-17,Montour,2375,751,42,3168,16977.0
2016-17,Northampton,1955,763,.,2718,316862.0
2016-17,Northumberland,2633,673,1,3307,92861.0
2016-17,Perry,144,46,.,190,45111.0
2016-17,Philadelphia,109,19,.,128,1421328.0
2016-17,Pike,1913,434,1,2348,80765.0
2016-17,Potter,133,73,1,207,17641.0
2016-17,Schuylkill,192,80,.,272,146457.0
2016-17,Snyder,416,132,.,548,39025.0
2016-17,Somerset,268,74,.,342,77149.0
2016-17,Sullivan,236,126,56,418,6313.0
2016-17,Susquehanna,16,3,.,19,61630.0
